variable_name,variable_label,variable_class,n_observations,n_missing,n_nonmissing,pct_missing,pct_nonmissing,n_unique_values,is_original_imported,is_clean_numeric,is_analytical_recode,is_derived_script05
num_H1MO3,NA,numeric,6504,2161,4343,33.23,66.77,6,FALSE,TRUE,FALSE,FALSE
num_H1MO5,NA,numeric,6504,2207,4297,33.93,66.07,6,FALSE,TRUE,FALSE,FALSE
num_H1PA3,NA,numeric,6504,481,6023,7.4,92.6,6,FALSE,TRUE,FALSE,FALSE
num_H1PA6,NA,numeric,6504,2271,4233,34.92,65.08,6,FALSE,TRUE,FALSE,FALSE
num_H1PA7,NA,numeric,6504,115,6389,1.77,98.23,3,FALSE,TRUE,FALSE,FALSE
num_H1PR3,NA,numeric,6504,24,6480,0.37,99.63,7,FALSE,TRUE,FALSE,FALSE
num_H1PR5,NA,numeric,6504,29,6475,0.45,99.55,7,FALSE,TRUE,FALSE,FALSE
num_H1PR7,NA,numeric,6504,29,6475,0.45,99.55,7,FALSE,TRUE,FALSE,FALSE
num_H1PR8,NA,numeric,6504,27,6477,0.42,99.58,7,FALSE,TRUE,FALSE,FALSE
num_H1WP9,NA,numeric,6504,375,6129,5.77,94.23,6,FALSE,TRUE,FALSE,FALSE
num_H1WP10,NA,numeric,6504,374,6130,5.75,94.25,6,FALSE,TRUE,FALSE,FALSE
num_H1WP13,NA,numeric,6504,1957,4547,30.09,69.91,6,FALSE,TRUE,FALSE,FALSE
num_H1WP14,NA,numeric,6504,1957,4547,30.09,69.91,6,FALSE,TRUE,FALSE,FALSE
num_H1RP3,NA,numeric,6504,2077,4427,31.93,68.07,6,FALSE,TRUE,FALSE,FALSE
num_H1MO9,NA,numeric,6504,2159,4345,33.19,66.81,6,FALSE,TRUE,FALSE,FALSE
num_H1MO10,NA,numeric,6504,2148,4356,33.03,66.97,6,FALSE,TRUE,FALSE,FALSE
num_H1MO11,NA,numeric,6504,2171,4333,33.38,66.62,6,FALSE,TRUE,FALSE,FALSE
num_H1MO12,NA,numeric,6504,2164,4340,33.27,66.73,6,FALSE,TRUE,FALSE,FALSE
num_H1MO13,NA,numeric,6504,2153,4351,33.1,66.9,6,FALSE,TRUE,FALSE,FALSE
num_H1MO14,NA,numeric,6504,2154,4350,33.12,66.88,6,FALSE,TRUE,FALSE,FALSE
a_sex_ever,NA,integer,6504,86,6418,1.32,98.68,3,FALSE,FALSE,TRUE,FALSE
a_H1CO8_yesno,NA,integer,6504,5867,637,90.21,9.79,3,FALSE,FALSE,TRUE,FALSE
a_H1CO9_yesno,NA,integer,6504,6504,0,100,0,1,FALSE,FALSE,TRUE,FALSE
a_H1CO3_yesno,NA,integer,6504,3956,2548,60.82,39.18,3,FALSE,FALSE,TRUE,FALSE
a_H1CO6_yesno,NA,integer,6504,3971,2533,61.05,38.95,3,FALSE,FALSE,TRUE,FALSE
a_H1CO13_yesno,NA,integer,6504,5881,623,90.42,9.58,3,FALSE,FALSE,TRUE,FALSE
a_H1FP7_yesno,NA,integer,6504,5254,1250,80.78,19.22,3,FALSE,FALSE,TRUE,FALSE
a_H1FP8_yesno,NA,integer,6504,6504,0,100,0,1,FALSE,FALSE,TRUE,FALSE
a_H1CO16D_yesno,NA,integer,6504,3942,2562,60.61,39.39,3,FALSE,FALSE,TRUE,FALSE
a_H1HS9_yesno,NA,integer,6504,21,6483,0.32,99.68,3,FALSE,FALSE,TRUE,FALSE
a_H1CO16A_yesno,NA,integer,6504,3946,2558,60.67,39.33,3,FALSE,FALSE,TRUE,FALSE
a_H1CO16C_yesno,NA,integer,6504,3943,2561,60.62,39.38,3,FALSE,FALSE,TRUE,FALSE
