priority_id,thesis_construct_block,thesis_item_codes,theoretical_model,add_health_target_domain,expected_wave_priority,mapping_priority,file_name,page_number,n_hits_on_page,matched_keywords,page_rank_within_document,manual_review_action,context_exported
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,270,3,AIDS; HIV; STI,4,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,641,3,AIDS; HIV; STI,5,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,142,5,AIDS; sexually transmitted; STD; STI; test,1,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,4,2,HIV; STI,2,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,75,2,sexually transmitted; STD,3,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,120,2,AIDS; STI,4,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,143,2,STI; test,5,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,68,4,AIDS; sexually transmitted; STI; test,1,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,71,4,AIDS; sexually transmitted; STD; STI,2,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,73,3,AIDS; sexually transmitted; STI,3,Review this page first; keyword density suggests possible relevant variable entries.,No
