sample_name,variable,variable_label,variable_class,variable_role,n_total,n_missing,n_nonmissing,pct_missing,pct_nonmissing,weighted_pct_missing,weighted_pct_nonmissing,n_unique_nonmissing,is_binary_01,public_n_nonmissing,availability_class
full_weighted_wave1,num_H1WP1,NA,numeric,numeric_cleaned_item,6504,151,6353,2.32,97.68,2.4,97.6,2,TRUE,6353,high_availability
full_weighted_wave1,num_H1WP2,NA,numeric,numeric_cleaned_item,6504,142,6362,2.18,97.82,2.25,97.75,2,TRUE,6362,high_availability
full_weighted_wave1,num_H1WP8,NA,numeric,numeric_cleaned_item,6504,154,6350,2.37,97.63,2.4,97.6,8,FALSE,6350,high_availability
full_weighted_wave1,num_H1ED19,NA,numeric,numeric_cleaned_item,6504,138,6366,2.12,97.88,2.18,97.82,5,FALSE,6366,high_availability
full_weighted_wave1,num_H1ED20,NA,numeric,numeric_cleaned_item,6504,138,6366,2.12,97.88,2.22,97.78,5,FALSE,6366,high_availability
full_weighted_wave1,num_H1ED23,NA,numeric,numeric_cleaned_item,6504,137,6367,2.11,97.89,2.19,97.81,5,FALSE,6367,high_availability
full_weighted_wave1,num_H1ED24,NA,numeric,numeric_cleaned_item,6504,137,6367,2.11,97.89,2.19,97.81,5,FALSE,6367,high_availability
full_weighted_wave1,num_H1PR2,NA,numeric,numeric_cleaned_item,6504,28,6476,0.43,99.57,0.5,99.5,6,FALSE,6476,high_availability
full_weighted_wave1,num_BIO_SEX,NA,numeric,numeric_cleaned_item,6504,1,6503,0.02,99.98,0,100,2,FALSE,6503,high_availability
full_weighted_wave1,num_H1RM1,NA,numeric,numeric_cleaned_item,6504,427,6077,6.57,93.43,6.75,93.25,12,FALSE,6077,high_availability
full_weighted_wave1,num_H1RF1,NA,numeric,numeric_cleaned_item,6504,2010,4494,30.9,69.1,29.15,70.85,12,FALSE,4494,moderate_availability
full_weighted_wave1,num_PA55,NA,numeric,numeric_cleaned_item,6504,1575,4929,24.22,75.78,22.85,77.15,150,FALSE,4929,moderate_availability
full_weighted_wave1,num_PA21,NA,numeric,numeric_cleaned_item,6504,891,5613,13.7,86.3,13.01,86.99,2,TRUE,5613,high_availability
full_weighted_wave1,num_H1TS8,NA,numeric,numeric_cleaned_item,6504,15,6489,0.23,99.77,0.24,99.76,2,TRUE,6489,high_availability
full_weighted_wave1,num_H1GH44,NA,numeric,numeric_cleaned_item,6504,55,6449,0.85,99.15,0.9,99.1,5,FALSE,6449,high_availability
full_weighted_wave1,num_H1GH46,NA,numeric,numeric_cleaned_item,6504,81,6423,1.25,98.75,1.39,98.61,5,FALSE,6423,high_availability
full_weighted_wave1,num_H1RP5,NA,numeric,numeric_cleaned_item,6504,2111,4393,32.46,67.54,35.55,64.45,5,FALSE,4393,moderate_availability
full_weighted_wave1,num_H1RP6,NA,numeric,numeric_cleaned_item,6504,2114,4390,32.5,67.5,35.58,64.42,5,FALSE,4390,moderate_availability
full_weighted_wave1,num_H1BC6,NA,numeric,numeric_cleaned_item,6504,1868,4636,28.72,71.28,31.65,68.35,5,FALSE,4636,moderate_availability
full_weighted_wave1,num_H1BC1,NA,numeric,numeric_cleaned_item,6504,1833,4671,28.18,71.82,31.17,68.83,5,FALSE,4671,moderate_availability
full_weighted_wave1,num_H1BC2,NA,numeric,numeric_cleaned_item,6504,1852,4652,28.47,71.53,31.45,68.55,5,FALSE,4652,moderate_availability
