outcome,model_stage,term,term_variable,main_odds_ratio,main_p_value,main_conf_low_or,main_conf_high_or,strict_odds_ratio,strict_p_value,strict_conf_low_or,strict_conf_high_or,main_direction,strict_direction,same_direction,main_significant_05,strict_significant_05,both_significant_05,either_significant_05,absolute_log_or_difference,robustness_status
a_H1CO3_yesno,M2_school_context,num_H1ED205,num_H1ED20,0.6073908612360667,0.08571119383856086,0.3440669724895368,1.072243742675156,0.6344953291916724,0.12333444202187764,0.3558340093481683,1.1313823642195406,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.043657418938315096,same_direction_not_statistically_prioritized
a_H1CO3_yesno,M2_school_context,num_H1ED204,num_H1ED20,0.752206571555817,0.1851270802794567,0.4937420150915422,1.1459724086613363,0.7532134466735235,0.19023255497479472,0.4929715734279817,1.1508381554432372,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.0013376669044545264,same_direction_not_statistically_prioritized
a_H1CO3_yesno,M2_school_context,num_H1ED203,num_H1ED20,0.8872187623082587,0.5278642861357463,0.6119360682183896,1.2863388400745082,0.8974953936675326,0.570498348654202,0.6177267110790658,1.3039714281536705,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.011516404355285129,same_direction_not_statistically_prioritized
a_H1CO3_yesno,M2_school_context,num_H1ED202,num_H1ED20,0.9952555239473132,0.9757205985454234,0.7327235047214995,1.351851757948085,0.996672272259014,0.9830509147277752,0.7328460269932474,1.3554765690216384,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.001422489864638206,same_direction_not_statistically_prioritized
a_H1CO3_yesno,M2_school_context,num_H1PR22,num_H1PR2,0.6905796836976871,0.3006874176200164,0.3426167812162471,1.3919350296942858,0.7097006036684593,0.3379580811092474,0.35199452570930756,1.4309169889287776,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.02731182993931941,same_direction_not_statistically_prioritized
a_H1CO3_yesno,M2_school_context,num_H1PR25,num_H1PR2,1.28223434216651,0.5029518208095565,0.6196102484706745,2.653482430752591,1.2674025212238829,0.5226867019340857,0.6129330710828811,2.6206925789903237,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.011634588801784584,same_direction_not_statistically_prioritized
a_H1CO3_yesno,M2_school_context,num_H1PR23,num_H1PR2,0.8044145466575455,0.5149838556897901,0.417834088818728,1.5486595761098685,0.8158739243107865,0.5422914558243233,0.4240449087289949,1.5697635950056812,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.014145096910274962,same_direction_not_statistically_prioritized
a_H1CO3_yesno,M2_school_context,num_H1PR26,num_H1PR2,1.607616846991735,0.5262425257626817,0.3703836883601935,6.977715293494027,2.6811543902713693,0.2761238255439025,0.4546871651823584,15.809966532898189,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.511494581288585,same_direction_not_statistically_prioritized
a_H1CO3_yesno,M2_school_context,num_H1PR24,num_H1PR2,1.0408588351912658,0.9071839632398552,0.5309609663103757,2.0404270436754093,1.0697089811404552,0.8444479608389777,0.5457103043815585,2.0968585257508288,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.027340455803860735,same_direction_not_statistically_prioritized
a_H1CO3_yesno,M3_knowledge_attitudes,a_age_wave1,a_age_wave1,0.9327220368810568,0.44707721914784593,0.7794590219738182,1.116120762680414,0.9838200937499788,0.8579038869978937,0.8229526645939493,1.176133231604259,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.053335816351341735,same_direction_not_statistically_prioritized
